净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-04-20,0.1820,0.1880,-0.55%,限制大额申购,开放赎回,
2016-04-19,0.1830,0.1890,0.55%,限制大额申购,开放赎回,
2016-04-18,0.1820,0.1880,-0.55%,限制大额申购,开放赎回,
2016-04-15,0.1830,0.1890,0.55%,限制大额申购,开放赎回,
2016-04-14,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-13,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-12,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-11,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-08,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-07,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-06,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-05,0.1820,0.1880,0.00%,限制大额申购,开放赎回,
2016-04-01,0.1820,0.1880,0.55%,限制大额申购,开放赎回,
2016-03-31,0.1810,0.1870,0.00%,限制大额申购,开放赎回,
2016-03-30,0.1810,0.1870,0.56%,限制大额申购,开放赎回,
2016-03-29,0.1800,0.1860,,限制大额申购,开放赎回,
2016-03-24,0.1800,0.1860,0.00%,限制大额申购,开放赎回,
2016-03-23,0.1800,0.1860,0.00%,限制大额申购,开放赎回,
2016-03-22,0.1800,0.1860,0.00%,限制大额申购,开放赎回,
2016-03-21,0.1800,0.1860,0.00%,限制大额申购,开放赎回,
2016-03-18,0.1800,0.1860,0.56%,限制大额申购,开放赎回,
2016-03-17,0.1790,0.1850,0.00%,限制大额申购,开放赎回,
2016-03-16,0.1790,0.1850,0.00%,限制大额申购,开放赎回,
2016-03-15,0.1790,0.1850,0.00%,限制大额申购,开放赎回,
2016-03-14,0.1790,0.1850,0.56%,限制大额申购,开放赎回,
2016-03-11,0.1780,0.1840,0.00%,限制大额申购,开放赎回,
2016-03-10,0.1780,0.1840,0.00%,限制大额申购,开放赎回,
2016-03-09,0.1780,0.1840,0.00%,限制大额申购,开放赎回,
2016-03-08,0.1780,0.1840,0.00%,限制大额申购,开放赎回,
2016-03-07,0.1780,0.1840,0.00%,限制大额申购,开放赎回,
2016-03-04,0.1780,0.1840,0.57%,限制大额申购,开放赎回,
2016-03-03,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-03-02,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-03-01,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-29,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-26,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-25,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-24,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-23,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-22,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-19,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-18,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-17,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-16,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-15,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-05,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-04,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-03,0.1770,0.1830,0.00%,限制大额申购,开放赎回,
2016-02-02,0.1770,0.1830,17.43%,限制大额申购,开放赎回,每份派现金0.0058元
2016-02-01,0.1830,0.1830,0.00%,限制大额申购,开放赎回,
2016-01-29,0.1830,0.1830,0.00%,限制大额申购,开放赎回,
2016-01-28,0.1830,0.1830,0.00%,限制大额申购,开放赎回,
2016-01-27,0.1830,0.1830,0.55%,限制大额申购,开放赎回,
2016-01-26,0.1820,0.1820,-0.55%,限制大额申购,开放赎回,
2016-01-25,0.1830,0.1830,0.00%,限制大额申购,开放赎回,
2016-01-22,0.1830,0.1830,0.00%,限制大额申购,开放赎回,
2016-01-21,0.1830,0.1830,0.00%,限制大额申购,开放赎回,
2016-01-20,0.1830,0.1830,-0.54%,开放申购,开放赎回,
2016-01-19,0.1840,0.1840,0.00%,开放申购,开放赎回,
2016-01-18,0.1840,0.1840,0.00%,开放申购,开放赎回,
2016-01-15,0.1840,0.1840,0.00%,开放申购,开放赎回,
2016-01-14,0.1840,0.1840,0.00%,开放申购,开放赎回,
2016-01-13,0.1840,0.1840,0.00%,开放申购,开放赎回,
2016-01-12,0.1840,0.1840,0.00%,开放申购,开放赎回,
2016-01-11,0.1840,0.1840,-0.54%,开放申购,开放赎回,
2016-01-08,0.1850,0.1850,0.54%,开放申购,开放赎回,
2016-01-07,0.1840,0.1840,-1.08%,开放申购,开放赎回,
2016-01-06,0.1860,0.1860,0.54%,开放申购,开放赎回,
2016-01-05,0.1850,0.1850,0.00%,开放申购,开放赎回,
2016-01-04,0.1850,0.1850,0.54%,开放申购,开放赎回,
2015-12-31,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-30,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-29,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-28,0.1840,0.1840,,开放申购,开放赎回,
2015-12-24,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-23,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-22,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-21,0.1840,0.1840,0.55%,开放申购,开放赎回,
2015-12-18,0.1830,0.1830,0.00%,开放申购,开放赎回,
2015-12-17,0.1830,0.1830,0.00%,开放申购,开放赎回,
2015-12-16,0.1830,0.1830,0.00%,开放申购,开放赎回,
2015-12-15,0.1830,0.1830,0.00%,开放申购,开放赎回,
2015-12-14,0.1830,0.1830,-0.54%,开放申购,开放赎回,
2015-12-11,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-10,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-09,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-08,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-07,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-04,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-03,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-02,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-12-01,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-11-30,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-11-27,0.1840,0.1840,,开放申购,开放赎回,
2015-11-25,0.1850,0.1850,0.54%,开放申购,开放赎回,
2015-11-24,0.1840,0.1840,-0.54%,开放申购,开放赎回,
2015-11-23,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-11-20,0.1850,0.1850,0.54%,开放申购,开放赎回,
2015-11-19,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-11-18,0.1840,0.1840,0.55%,开放申购,开放赎回,
2015-11-17,0.1830,0.1830,0.00%,开放申购,开放赎回,
2015-11-16,0.1830,0.1830,0.00%,开放申购,开放赎回,
2015-11-13,0.1830,0.1830,-0.54%,开放申购,开放赎回,
2015-11-12,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-11-11,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-11-10,0.1840,0.1840,0.00%,开放申购,开放赎回,
2015-11-09,0.1840,0.1840,-0.54%,开放申购,开放赎回,
2015-11-06,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-11-05,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-11-04,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-11-03,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-11-02,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-10-30,0.1850,0.1850,0.00%,开放申购,开放赎回,
2015-10-29,0.1850,0.1850,0.54%,开放申购,开放赎回,
2015-10-28,0.1840,0.1840,-0.54%,开放申购,开放赎回,
2015-10-27,0.1850,0.1850,0.54%,开放申购,开放赎回,
2015-10-26,0.1840,0.1840,0.55%,开放申购,开放赎回,
2015-10-23,0.1830,0.1830,0.55%,开放申购,开放赎回,
2015-10-22,0.1820,0.1820,,开放申购,开放赎回,
2015-10-20,0.1820,0.1820,0.00%,开放申购,开放赎回,
2015-10-19,0.1820,0.1820,0.00%,开放申购,开放赎回,
2015-10-16,0.1820,0.1820,0.55%,开放申购,开放赎回,
2015-10-15,0.1810,0.1810,0.00%,开放申购,开放赎回,
2015-10-14,0.1810,0.1810,0.00%,开放申购,开放赎回,
2015-10-13,0.1810,0.1810,0.56%,开放申购,开放赎回,
2015-10-12,0.1800,0.1800,0.00%,开放申购,开放赎回,
2015-10-09,0.1800,0.1800,0.00%,开放申购,开放赎回,
2015-10-08,0.1800,0.1800,1.69%,开放申购,开放赎回,
2015-09-30,0.1770,0.1770,0.00%,开放申购,开放赎回,
2015-09-29,0.1770,0.1770,0.00%,开放申购,开放赎回,
2015-09-28,0.1770,0.1770,0.00%,开放申购,开放赎回,
2015-09-25,0.1770,0.1770,0.00%,开放申购,开放赎回,
2015-09-24,0.1770,0.1770,-0.56%,开放申购,开放赎回,
2015-09-23,0.1780,0.1780,0.00%,开放申购,开放赎回,
2015-09-22,0.1780,0.1780,0.00%,开放申购,开放赎回,
2015-09-21,0.1780,0.1780,0.57%,开放申购,开放赎回,
2015-09-18,0.1770,0.1770,,开放申购,开放赎回,
